Question,All Answers,Correct Answer,source_path,source_type
Which radionuclide was first used to noninvasively assess left ventricular ejection fraction and regional wall motion?,A. 99mTc-sestamibi B. Thallium-201 (201Tl) C. Potassium-43 (43K) D. 99mTc-labeled human serum albumin E. Rubidium-82 (82Rb) F. 13N-ammonia G. 18F-FDG H. 15O-water,D. 99mTc-labeled human serum albumin,data/Dataset_Eval/PubMed_Pdfs/1.csv,pdf
What stressor is currently the vasodilator stressor of choice for detection of coronary artery disease (CAD) in most nuclear cardiology laboratories?,A. Dipyridamole B. Adenosine C. Regadenoson D. Dobutamine E. Isoproterenol F. Nitroglycerin G. Epinephrine H. Atropine,C. Regadenoson,data/Dataset_Eval/PubMed_Pdfs/2.csv,pdf
What is the primary pathophysiological mechanism believed to underlie the rapid onset and severe illness of fulminant myocarditis?,A. Direct myocardial cell damage by viruses B. Myocardial ischemia C. Cytokine storm D. Autoimmune response E. Genetic predisposition F. Coronary artery spasm G. Hypertension H. Myocardial infarction,C. Cytokine storm,data/Dataset_Eval/PubMed_Pdfs/3.csv,pdf
"According to the document, which cytokine is considered more sensitive than NT-proBNP and cTnI for discriminating fulminant myocarditis from non-fulminant myocarditis?",A. Interleukin-1 (IL-1) B. Interleukin-6 (IL-6) C. Tumor Necrosis Factor-alpha (TNF-α) D. Soluble growth stimulating expression gene 2 protein (sST2) E. Interleukin-4 (IL-4) F. Interleukin-17B (IL-17B) G. Plasminogen Activator Inhibitor 1 (PAI-1) H. Vascular Endothelial Growth Factor-C (VEGF-C),D. Soluble growth stimulating expression gene 2 protein (sST2),data/Dataset_Eval/PubMed_Pdfs/4.csv,pdf
"In the management of mixed aortic stenosis (AS) and aortic regurgitation (AR), when is valve replacement recommended?",A. When the c is less than 40% B. When the peak transvalvular jet velocity is at least 4.0 m/s C. When the mean transvalvular gradient is at least 20 mm Hg D. In asymptomatic patients regardless of jet velocity E. When the patient has a history of heart failure F. When the patient has symptomatic bradycardia G. In patients with hypertension H. In patients with diabetes mellitus,B. When the peak transvalvular jet velocity is at least 4.0 m/s​,data/Dataset_Eval/PubMed_Pdfs/5.csv,pdf
"For patients with prosthetic valve endocarditis, which imaging modality is recommended for detecting complications not visible on transthoracic echocardiography (TTE)?",A. positron emission tomography(PET)/computed tomography (CT)  B. Cardiac magnetic resonance imaging (MRI) C. Fluoroscopy D. Transesophageal echocardiography (TEE) E. computed tomography (CT) angiography F. Radionuclide imaging G. Intravascular ultrasound (IVUS) H. Stress echocardiography,D. Transesophageal echocardiography (TEE)​,data/Dataset_Eval/PubMed_Pdfs/6.csv,pdf
"In the management of severe aortic stenosis (AS), when is transcatheter aortic valve implantation (TAVI) preferred over surgical aortic valve replacement (SAVR)?",A. For patients under 65 years of age B. For patients with a life expectancy more than 20 years C. For asymptomatic patients with mild aortic stenosis (AS) D. For patients with a peak transvalvular jet velocity of less than 3.0 m/s E. For patients with an left ventricular ejection fraction (LVEF) greater than 50% F. For patients with severe aortic stenosis (AS) with rapid progression G. For patients with symptomatic severe aortic stenosis (AS) and elevated brain natriuretic peptide (BNP) H. For patients over 80 years of age,H. For patients over 80 years of age,data/Dataset_Eval/PubMed_Pdfs/7.csv,pdf
Which of the following is a not contraindication for the use of sacubitril/valsartan in patients with heart failure?,A. Within 36 hours of Angiotensin-converting enzyme (ACE) inhibitors use B. Renal artery stenosis C. Severe hepatic impairment (Child-Pugh C) D. Concomitant aliskiren use in patients with diabetes E. History of angioedema F. Pregnancy G. Lactation H. Known hypersensitivty to Angiotensin receptor blockers (ARB),B. Renal artery stenosis,data/Dataset_Eval/PubMed_Pdfs/8.csv,pdf
Which patient population of Heart failure with reduced Ejection fraction is Hydralazine/Isosorbide Dinitrate combination specifically recommended as a first-line medication?,A. Caucasians B. Elderly patients C. Patients with diabetes D. Patients with chronic kidney disease E. African Americans F. Patients with hypertension G. Patients with hypotension H. Patients with arrhythmias,E. African Americans,data/Dataset_Eval/PubMed_Pdfs/9.csv,pdf
Which of the following is NOT a recommended criterion for the use of Ivabradine in heart failure patients? ,A. Heart failure with reduced ejection fraction (HFrEF) with Angiotensin-converting enzyme (ACE) inhibitors ≤35% B. Maximum tolerated dose of beta-blocker C. Sinus rhythm with a resting heart rate ≥70 beats/min D. NYHA class II or III E. Acute decompensated heart failure,E. Acute decompensated heart failure,data/Dataset_Eval/PubMed_Pdfs/10.csv,pdf
